Longitud de onda,M1,M2
316.5,108.513,56.798
317,108.255,56.694
317.5,107.988,56.617
318,107.706,56.53
318.5,107.278,56.482
319,106.826,56.309
319.5,106.606,56.265
320,106.512,56.4
320.5,106.426,56.53
321,106.328,56.569
321.5,106.208,56.567
322,106.089,56.448
322.5,105.764,56.272
323,105.349,56.197
323.5,104.946,56.207
324,104.528,56.155
324.5,104.372,56.284
325,104.135,56.46
325.5,104.025,56.63
326,103.74,56.699
326.5,103.441,56.644
327,103.156,56.515
327.5,102.825,56.376
328,102.467,56.315
328.5,102.205,56.184
329,101.854,56.099
329.5,101.763,56.081
330,101.404,56.092
330.5,101.254,56.09
331,101.05,56.076
331.5,100.771,55.912
332,100.468,55.806
332.5,100.129,55.721
333,99.676,55.644
333.5,99.26,55.44
334,98.768,55.332
334.5,98.43,55.196
335,97.831,55.032
335.5,97.493,54.759
336,97.138,54.467
336.5,96.618,54.26
337,96.306,54.137
337.5,96,54.153
338,95.704,54.056
338.5,95.516,54.036
339,95.127,54.013
339.5,94.794,53.924
340,94.495,53.794
340.5,94.152,53.462
341,93.67,53.209
341.5,93.196,53.045
342,92.888,52.775
342.5,92.602,52.582
343,92.304,52.409
343.5,92.084,52.404
344,91.706,52.287
344.5,91.406,52.243
345,91.281,52.165
345.5,90.964,52.048
346,90.604,51.898
346.5,90.236,51.694
347,89.869,51.394
347.5,89.555,51.159
348,89.17,50.922
348.5,88.851,50.723
349,88.511,50.518
349.5,88.226,50.413
350,87.82,50.172
350.5,87.409,50.054
351,87.107,49.87
351.5,86.741,49.662
352,86.451,49.533
352.5,86.16,49.373
353,85.783,49.204
353.5,85.456,49.033
354,85.206,48.857
354.5,84.989,48.738
355,84.63,48.484
355.5,84.341,48.411
356,84.172,48.372
356.5,83.994,48.244
357,83.816,48.153
357.5,83.603,48.04
358,83.238,47.813
358.5,82.894,47.612
359,82.6,47.408
359.5,82.393,47.264
360,82.014,47.051
360.5,81.58,46.877
361,81.196,46.726
361.5,80.798,46.419
362,80.457,46.179
362.5,80.18,45.973
363,79.926,45.742
363.5,79.735,45.584
364,79.555,45.425
364.5,79.46,45.353
365,79.29,45.262
365.5,79.163,45.108
366,79.001,44.971
366.5,78.768,44.749
367,78.566,44.519
367.5,78.33,44.389
368,78.086,44.227
368.5,77.865,44.036
369,77.607,43.941
369.5,77.246,43.812
370,76.934,43.619
370.5,76.698,43.4
371,76.471,43.227
371.5,76.172,42.894
372,75.827,42.496
372.5,75.407,42.092
373,75.103,41.661
373.5,74.871,41.27
374,74.521,40.928
374.5,74.169,40.701
375,73.896,40.511
375.5,73.716,40.317
376,73.442,40.144
376.5,73.144,39.913
377,72.791,39.593
377.5,72.467,39.258
378,72.157,38.948
378.5,71.931,38.646
379,71.751,38.373
379.5,71.609,38.226
380,71.381,38.034
380.5,71.128,37.652
381,70.798,37.354
381.5,70.524,37.046
382,70.211,36.652
382.5,69.834,36.267
383,69.382,35.821
383.5,69.029,35.386
384,68.782,35.027
384.5,68.459,34.693
385,68.059,34.352
385.5,67.737,33.944
386,67.52,33.736
386.5,67.209,33.483
387,66.897,33.156
387.5,66.395,32.737
388,65.809,32.235
388.5,65.386,31.851
389,65.033,31.539
389.5,64.804,31.297
390,64.498,30.982
390.5,64.259,30.655
391,64.039,30.405
391.5,63.747,30.05
392,63.41,29.653
392.5,62.945,29.239
393,62.468,28.763
393.5,62.06,28.345
394,61.677,27.99
394.5,61.283,27.614
395,60.862,27.169
395.5,60.448,26.702
396,60.034,26.349
396.5,59.747,26.045
397,59.435,25.744
397.5,59.045,25.428
398,58.792,25.095
398.5,58.561,24.772
399,58.392,24.533
399.5,58.262,24.293
400,58.115,24
400.5,57.848,23.617
401,57.542,23.283
401.5,57.241,22.936
402,56.87,22.574
402.5,56.432,22.199
403,56.05,21.793
403.5,55.742,21.491
404,55.504,21.264
404.5,55.343,21.048
405,55.12,20.795
405.5,54.731,20.442
406,54.377,20.144
406.5,54.005,19.826
407,53.692,19.564
407.5,53.366,19.324
408,52.969,19.05
408.5,52.71,18.838
409,52.47,18.604
409.5,52.275,18.365
410,52.054,18.112
410.5,51.764,17.774
411,51.465,17.453
411.5,51.244,17.173
412,51.054,17.014
412.5,50.851,16.868
413,50.605,16.651
413.5,50.427,16.486
414,50.214,16.353
414.5,50.033,16.196
415,49.749,15.982
415.5,49.379,15.655
416,49.051,15.34
416.5,48.811,15.144
417,48.53,14.999
417.5,48.291,14.763
418,48.109,14.543
418.5,47.936,14.43
419,47.794,14.364
419.5,47.656,14.276
420,47.45,14.154
420.5,47.125,13.919
421,46.849,13.661
421.5,46.603,13.443
422,46.325,13.233
422.5,46.118,13.009
423,45.938,12.817
423.5,45.669,12.613
424,45.41,12.412
424.5,45.218,12.278
425,44.997,12.146
425.5,44.674,11.958
426,44.421,11.78
426.5,44.253,11.656
427,44.113,11.586
427.5,43.983,11.482
428,43.86,11.346
428.5,43.562,11.118
429,43.248,10.887
429.5,43.026,10.696
430,42.775,10.571
430.5,42.59,10.429
431,42.467,10.28
431.5,42.36,10.146
432,42.303,10.053
432.5,42.178,9.958
433,42.053,9.905
433.5,41.771,9.8
434,41.584,9.695
434.5,41.455,9.697
435,41.296,9.713
435.5,41.188,9.63
436,40.957,9.431
436.5,40.761,9.304
437,40.531,9.083
437.5,40.241,8.902
438,40.024,8.777
438.5,39.771,8.592
439,39.635,8.446
439.5,39.478,8.425
440,39.305,8.419
440.5,39.145,8.35
441,38.957,8.206
441.5,38.866,8.189
442,38.767,8.157
442.5,38.729,8.154
443,38.716,8.186
443.5,38.664,8.14
444,38.566,8.025
444.5,38.457,7.978
445,38.289,7.943
445.5,38.033,7.786
446,37.818,7.628
446.5,37.625,7.541
447,37.445,7.521
447.5,37.39,7.517
448,37.263,7.55
448.5,37.188,7.583
449,37.213,7.626
449.5,37.187,7.672
450,37.018,7.639
450.5,36.81,7.502
451,36.61,7.371
451.5,36.363,7.231
452,36.084,7.092
452.5,35.906,6.987
453,35.635,6.835
453.5,35.443,6.7
454,35.379,6.688
454.5,35.219,6.621
455,35.11,6.551
455.5,35.102,6.586
456,34.985,6.523
456.5,34.865,6.494
457,34.775,6.484
457.5,34.699,6.456
458,34.578,6.378
458.5,34.485,6.327
459,34.48,6.349
459.5,34.428,6.324
460,34.408,6.282
460.5,34.37,6.222
461,34.18,6.018
461.5,33.985,5.816
462,33.807,5.676
462.5,33.642,5.57
463,33.48,5.501
463.5,33.377,5.464
464,33.387,5.46
464.5,33.346,5.458
465,33.337,5.468
465.5,33.331,5.486
466,33.162,5.385
466.5,32.983,5.325
467,32.851,5.351
467.5,32.735,5.384
468,32.626,5.432
468.5,32.504,5.395
469,32.547,5.403
469.5,32.463,5.408
470,32.42,5.412
470.5,32.382,5.408
471,32.31,5.36
471.5,32.296,5.4
472,32.275,5.438
472.5,32.214,5.402
473,32.14,5.32
473.5,32.006,5.137
474,31.897,4.973
474.5,31.704,4.77
475,31.584,4.632
475.5,31.604,4.578
476,31.613,4.583
476.5,31.615,4.657
477,31.49,4.677
477.5,31.469,4.764
478,31.413,4.815
478.5,31.288,4.868
479,31.146,4.877
479.5,31.081,4.951
480,31.125,5.121
480.5,31.247,5.299
481,31.275,5.419
481.5,31.121,5.416
482,30.862,5.278
482.5,30.608,5.093
483,30.274,4.836
483.5,29.96,4.525
484,29.773,4.27
484.5,29.689,4.121
485,29.731,4.079
485.5,29.831,4.124
486,29.887,4.197
486.5,29.831,4.221
487,29.703,4.148
487.5,29.507,4.016
488,29.369,3.917
488.5,29.322,3.866
489,29.428,3.989
489.5,29.547,4.214
490,29.625,4.426
490.5,29.657,4.622
491,29.635,4.701
491.5,29.56,4.672
492,29.472,4.515
492.5,29.274,4.263
493,29.188,4.087
493.5,29.211,4.064
494,29.304,4.198
494.5,29.343,4.301
495,29.321,4.308
495.5,29.259,4.247
496,29.16,4.096
496.5,29.005,3.905
497,28.812,3.726
497.5,28.67,3.6
498,28.64,3.603
498.5,28.707,3.796
499,28.751,3.978
499.5,28.772,4.049
500,28.823,4.065
500.5,28.802,4.02
501,28.703,3.918
501.5,28.479,3.872
502,28.222,3.749
502.5,28.21,3.819
503,28.169,3.838
503.5,28.11,3.891
504,28.151,3.946
504.5,28.265,4.035
505,28.308,4.082
505.5,28.339,4.038
506,28.25,3.981
506.5,28.029,3.913
507,27.849,3.775
507.5,27.691,3.678
508,27.505,3.47
508.5,27.301,3.314
509,27.316,3.315
509.5,27.45,3.474
510,27.476,3.566
