Longitud de onda;M15;M210;M38
284.5;654.931;405.028;436.34
285;648.897;400.936;431.819
285.5;641.408;397.026;427.428
286;636.653;393.401;423.82
286.5;633.788;390.054;420.349
287;630.126;386.206;416.721
287.5;624.613;382.482;412.847
288;619.181;379.104;409.186
288.5;613.233;374.951;404.941
289;606.109;370.754;400.331
289.5;598.253;366.661;395.478
290;590.112;362.314;391.071
290.5;582.332;358.638;387.054
291;576.738;355.127;382.962
291.5;571.61;351.933;379.132
292;567.478;348.509;375.903
292.5;562.124;344.929;371.885
293;555.889;341.077;367.574
293.5;549.789;336.571;363.053
294;542.791;332.138;358.209
294.5;535.626;327.681;353.415
295;527.686;323.047;348.667
295.5;519.355;318.745;343.835
296;512.484;314.368;338.866
296.5;505.827;310.266;334.547
297;499.609;306.339;330.16
297.5;493.2;302.157;325.449
298;487.049;298.096;320.993
298.5;480.186;293.966;316.597
299;472.953;289.861;312.169
299.5;466.285;285.508;307.837
300;458.947;281.068;303.405
300.5;451.583;276.346;298.579
301;444.375;271.952;293.828
301.5;437.143;267.517;288.984
302;429.972;263.201;284.19
302.5;422.72;259.045;279.354
303;415.622;254.843;274.66
303.5;408.398;250.583;270.11
304;401.367;246.267;265.534
304.5;394.391;241.781;261.085
305;386.948;237.218;256.41
305.5;379.693;232.634;251.739
306;372.983;228.422;247.247
306.5;366.312;224.151;242.559
307;359.356;219.872;237.766
307.5;352.007;215.655;232.829
308;344.893;211.452;228.048
308.5;337.989;207.179;223.361
309;331.294;202.875;218.797
309.5;324.531;198.585;214.43
310;317.763;194.292;209.965
310.5;311.48;190.2;205.709
311;305.313;186.366;201.731
311.5;299.196;182.76;197.805
312;293.392;179.323;193.843
312.5;287.651;176.051;190.049
313;281.954;172.885;186.309
313.5;276.376;169.644;182.571
314;270.938;166.375;178.982
314.5;265.732;163.148;175.457
315;260.179;159.866;171.93
315.5;254.789;156.663;168.469
316;249.246;153.559;165.242
316.5;244.166;150.685;162.066
317;239.444;147.906;158.938
317.5;234.748;145.036;155.85
318;230.135;142.22;152.764
318.5;225.905;139.319;149.762
319;221.905;136.64;147.04
319.5;218.155;134.164;144.413
320;214.324;131.86;141.964
320.5;210.562;129.861;139.678
321;206.949;127.762;137.488
321.5;203.45;125.755;135.172
322;199.92;123.662;132.776
322.5;196.452;121.48;130.387
323;193.171;119.393;128.188
323.5;190.126;117.344;126.081
324;187.334;115.443;124.028
324.5;184.596;113.742;122.212
325;182.017;112.235;120.53
325.5;179.511;110.777;119.075
326;177.017;109.267;117.615
326.5;174.644;107.854;116.15
327;172.353;106.365;114.615
327.5;170.184;104.96;113.249
328;168.03;103.622;112.008
328.5;166.06;102.34;110.677
329;164.25;101.085;109.249
329.5;162.327;99.933;107.968
330;160.409;98.95;106.543
330.5;158.521;97.913;105.303
331;156.536;96.878;103.975
331.5;154.601;95.696;102.706
332;152.762;94.468;101.402
332.5;151.024;93.33;100.251
333;149.379;92.294;99.233
333.5;147.893;91.206;98.093
334;146.449;90.071;96.978
334.5;145.076;89.057;96.062
335;143.673;88.155;95.12
335.5;142.266;87.158;94.264
336;140.759;86.197;93.419
336.5;139.241;85.263;92.588
337;137.87;84.494;91.717
337.5;136.537;83.814;90.864
338;135.186;83.055;89.926
338.5;134.073;82.367;89.051
339;133.052;81.682;88.229
339.5;132.044;81.009;87.545
340;131.005;80.24;86.904
340.5;129.894;79.396;86.12
341;128.819;78.703;85.392
341.5;127.773;77.966;84.584
342;126.639;77.248;83.75
342.5;125.557;76.608;83.009
343;124.44;75.815;82.225
343.5;123.525;75.294;81.717
344;122.489;74.691;81.032
344.5;121.395;74.013;80.429
345;120.434;73.468;79.932
345.5;119.45;72.885;79.182
346;118.528;72.294;78.435
346.5;117.666;71.725;77.674
347;116.618;71.127;76.905
347.5;115.607;70.622;76.214
348;114.6;69.969;75.56
348.5;113.64;69.382;74.964
349;112.667;68.675;74.348
349.5;111.821;68.023;73.926
350;110.868;67.327;73.394
350.5;109.941;66.72;72.766
351;109.089;66.107;72.116
351.5;108.128;65.556;71.47
352;107.159;65.011;70.821
352.5;106.236;64.533;70.1
353;105.296;63.998;69.359
353.5;104.356;63.429;68.65
354;103.518;62.731;68.025
354.5;102.698;62.149;67.544
355;101.71;61.53;66.906
355.5;100.926;60.99;66.424
356;100.191;60.506;65.926
356.5;99.339;60.01;65.449
357;98.527;59.526;64.959
357.5;97.724;59.003;64.338
358;96.781;58.488;63.668
358.5;95.92;57.89;63.024
359;95.023;57.248;62.423
359.5;94.068;56.768;61.9
360;93.077;56.136;61.158
360.5;92.045;55.415;60.57
361;91.095;54.869;59.998
361.5;90.135;54.245;59.386
362;89.296;53.664;58.756
362.5;88.554;53.183;58.18
363;87.878;52.81;57.654
363.5;87.3;52.396;57.231
364;86.572;52.059;56.85
364.5;85.812;51.667;56.345
365;84.957;51.097;55.697
365.5;84.004;50.447;55.081
366;83.129;49.815;54.528
366.5;82.088;49.162;53.893
367;81.122;48.536;53.187
367.5;80.287;48.007;52.548
368;79.529;47.54;51.995
368.5;78.73;47.113;51.616
369;77.829;46.748;51.155
369.5;76.944;46.278;50.465
370;76.02;45.731;49.783
370.5;75.143;45.115;49.074
371;74.328;44.517;48.531
371.5;73.292;43.858;47.914
372;72.349;43.032;47.147
372.5;71.396;42.246;46.333
373;70.394;41.596;45.684
373.5;69.41;40.994;45.22
374;68.363;40.432;44.602
374.5;67.401;39.941;43.923
375;66.394;39.446;43.264
375.5;65.451;38.9;42.57
376;64.566;38.335;41.98
376.5;63.704;37.752;41.334
377;62.749;37.061;40.508
377.5;61.834;36.505;39.823
378;60.878;36.004;39.194
378.5;59.999;35.492;38.673
379;59.188;35.057;38.253
379.5;58.438;34.67;37.78
380;57.614;34.169;37.315
380.5;56.669;33.515;36.704
381;55.728;32.89;36.11
381.5;54.785;32.27;35.422
382;53.658;31.55;34.609
382.5;52.616;30.928;33.912
383;51.39;30.249;33.125
383.5;50.329;29.617;32.315
384;49.366;29.062;31.754
384.5;48.485;28.546;31.151
385;47.681;27.906;30.591
385.5;46.786;27.332;29.97
386;46.03;26.837;29.459
386.5;45.167;26.278;28.914
387;44.143;25.667;28.357
387.5;43.156;25.027;27.721
388;42.081;24.384;26.97
388.5;41.197;23.833;26.264
389;40.343;23.376;25.765
389.5;39.573;23.015;25.292
390;38.836;22.557;24.752
390.5;38.009;22.106;24.154
391;37.314;21.619;23.689
391.5;36.443;21.168;23.248
392;35.561;20.728;22.771
392.5;34.7;20.178;22.145
393;33.806;19.63;21.464
393.5;33.061;19.115;20.877
394;32.306;18.626;20.32
394.5;31.482;18.127;19.792
395;30.713;17.573;19.312
395.5;29.887;17.002;18.815
396;29.169;16.526;18.436
396.5;28.494;16.185;18.097
397;27.859;15.878;17.708
397.5;27.128;15.418;17.203
398;26.456;15.042;16.7
398.5;25.906;14.714;16.306
399;25.352;14.36;15.929
399.5;24.796;14.034;15.634
400;24.233;13.752;15.375
400.5;23.558;13.416;15.02
401;22.921;13.073;14.621
401.5;22.289;12.702;14.228
402;21.68;12.334;13.792
402.5;21.015;11.857;13.267
403;20.351;11.415;12.706
403.5;19.825;11.078;12.344
404;19.372;10.786;12.047
404.5;18.949;10.563;11.856
405;18.516;10.415;11.672
405.5;17.995;10.197;11.399
406;17.499;10.008;11.18
406.5;17.032;9.798;10.952
407;16.658;9.589;10.692
407.5;16.284;9.333;10.419
408;15.846;9.062;10.053
408.5;15.484;8.822;9.815
409;15.18;8.598;9.601
409.5;14.805;8.336;9.316
410;14.374;8.113;9.02
410.5;13.888;7.817;8.668
411;13.384;7.58;8.411
411.5;12.997;7.382;8.144
412;12.677;7.204;7.919
412.5;12.403;7.076;7.787
413;12.159;6.956;7.633
413.5;11.93;6.833;7.583
414;11.789;6.684;7.526
414.5;11.517;6.487;7.36
415;11.205;6.259;7.201
415.5;10.845;5.933;6.945
416;10.416;5.605;6.675
416.5;10.162;5.43;6.431
417;9.9;5.274;6.241
417.5;9.663;5.164;6.018
418;9.484;5.172;5.871
418.5;9.329;5.245;5.83
419;9.309;5.331;5.833
419.5;9.236;5.483;5.884
420;9.12;5.552;5.929
420.5;8.868;5.392;5.761
421;8.527;5.075;5.472
421.5;8.282;4.849;5.265
422;8.015;4.56;5.095
422.5;7.773;4.32;4.923
423;7.563;4.18;4.863
423.5;7.364;4.048;4.79
424;7.236;3.915;4.69
424.5;7.137;3.916;4.687
425;6.974;3.913;4.615
425.5;6.791;3.74;4.438
426;6.607;3.644;4.285
426.5;6.489;3.63;4.247
427;6.461;3.65;4.247
427.5;6.435;3.716;4.262
428;6.375;3.72;4.311
428.5;6.233;3.671;4.234
429;6.019;3.522;4.085
429.5;5.81;3.406;3.989
430;5.585;3.31;3.777
430.5;5.44;3.165;3.637
431;5.305;3.072;3.492
431.5;5.164;2.977;3.358
432;5.159;2.96;3.293
432.5;5.198;2.984;3.244
433;5.238;3.056;3.322
433.5;5.175;3.049;3.257
434;5.094;3.041;3.248
434.5;5.071;3.068;3.291
435;5.113;3.137;3.269
435.5;5.117;3.114;3.266
436;4.991;2.941;3.164
436.5;4.873;2.848;3.055
437;4.726;2.68;2.923
437.5;4.594;2.554;2.877
438;4.502;2.5;2.86
438.5;4.356;2.404;2.791
439;4.225;2.328;2.827
439.5;4.152;2.296;2.874
440;4.138;2.299;2.871
440.5;4.075;2.269;2.843
441;3.917;2.182;2.771
441.5;3.893;2.293;2.728
442;3.909;2.387;2.678
442.5;4.016;2.512;2.707
443;4.137;2.608;2.731
443.5;4.156;2.687;2.777
444;4.073;2.606;2.747
444.5;4.046;2.55;2.743
445;3.965;2.471;2.674
445.5;3.806;2.315;2.534
446;3.651;2.204;2.402
446.5;3.608;2.232;2.361
447;3.659;2.307;2.379
447.5;3.769;2.422;2.477
448;3.835;2.504;2.632
448.5;3.938;2.661;2.817
449;4.041;2.779;2.93
449.5;4.176;2.876;3.023
450;4.207;2.909;3.027
450.5;4.116;2.801;2.949
451;4.011;2.714;2.85
451.5;3.906;2.594;2.726
452;3.801;2.447;2.644
452.5;3.681;2.407;2.599
453;3.48;2.284;2.519
453.5;3.358;2.197;2.427
454;3.324;2.171;2.355
454.5;3.261;2.106;2.198
455;3.228;2.109;2.159
455.5;3.247;2.103;2.1
456;3.167;2.027;2.011
456.5;3.161;1.969;1.938
457;3.201;1.996;1.976
457.5;3.192;2.023;2.058
458;3.114;1.924;2.091
458.5;3.111;1.835;2.096
459;3.181;1.804;2.091
459.5;3.172;1.799;2.085
460;3.165;1.847;2.144
460.5;3.126;1.836;2.125
461;2.949;1.773;2.031
461.5;2.777;1.681;1.961
462;2.727;1.712;1.986
462.5;2.67;1.703;2.061
463;2.654;1.643;2.121
463.5;2.66;1.595;2.087
464;2.688;1.565;2.045
464.5;2.687;1.56;1.984
465;2.716;1.611;1.935
465.5;2.709;1.638;1.937
466;2.589;1.543;1.788
466.5;2.455;1.45;1.673
467;2.447;1.471;1.629
467.5;2.408;1.513;1.657
468;2.503;1.622;1.816
468.5;2.553;1.716;1.915
469;2.654;1.851;2.089
469.5;2.707;1.872;2.107
470;2.755;1.843;2.053
470.5;2.764;1.774;2.002
471;2.716;1.637;1.874
471.5;2.707;1.564;1.759
472;2.722;1.572;1.68
472.5;2.66;1.591;1.656
473;2.651;1.625;1.716
473.5;2.576;1.631;1.698
474;2.487;1.61;1.691
474.5;2.272;1.512;1.595
475;2.082;1.341;1.537
475.5;2.011;1.242;1.481
476;1.995;1.247;1.483
476.5;2.035;1.269;1.528
477;2.032;1.295;1.564
477.5;2.104;1.418;1.691
478;2.148;1.488;1.759
478.5;2.232;1.559;1.822
479;2.312;1.67;1.834
479.5;2.403;1.784;1.862
480;2.582;1.904;2.02
480.5;2.826;2.058;2.133
481;3.019;2.209;2.167
481.5;3.05;2.152;2.066
482;2.897;1.937;1.82
482.5;2.658;1.7;1.53
483;2.37;1.374;1.18
483.5;2.023;1.015;0.911
484;1.785;0.777;0.717
484.5;1.608;0.633;0.618
485;1.592;0.652;0.736
485.5;1.705;0.857;0.949
486;1.836;1.044;1.131
486.5;1.88;1.153;1.27
487;1.845;1.18;1.278
487.5;1.729;1.152;1.232
488;1.665;1.156;1.239
488.5;1.591;1.119;1.283
489;1.702;1.179;1.369
489.5;1.868;1.317;1.54
490;2.058;1.483;1.644
490.5;2.251;1.62;1.737
491;2.307;1.576;1.697
491.5;2.213;1.443;1.598
492;2.07;1.251;1.375
492.5;1.851;1.025;1.189
493;1.733;0.932;1.153
493.5;1.768;0.966;1.21
494;1.957;1.096;1.34
494.5;2.068;1.244;1.483
495;2.145;1.372;1.529
495.5;2.136;1.367;1.514
496;1.986;1.28;1.403
496.5;1.786;1.127;1.273
497;1.55;0.926;1.037
497.5;1.42;0.815;0.851
498;1.44;0.809;0.863
498.5;1.651;0.959;1
499;1.821;1.016;1.11
499.5;1.854;1.005;1.077
500;1.894;1.001;1.073
500.5;1.836;0.906;1.002
501;1.741;0.874;0.974
501.5;1.664;0.842;1.049
502;1.502;0.752;0.98
502.5;1.535;0.84;1.033
503;1.638;0.941;1.217
503.5;1.797;1.092;1.418
504;1.883;1.175;1.614
504.5;1.963;1.292;1.687
505;2.074;1.379;1.716
505.5;2.012;1.373;1.606
506;1.913;1.351;1.434
506.5;1.724;1.223;1.264
507;1.488;1.036;1.04
507.5;1.333;0.915;0.808
508;1.152;0.727;0.532
508.5;1.027;0.623;0.357
509;1.056;0.639;0.4
509.5;1.262;0.821;0.65
510;1.437;0.942;0.795
510.5;1.595;1.023;0.898
511;1.843;1.178;1.129
511.5;2.01;1.318;1.382
512;2.066;1.387;1.572
512.5;2.11;1.469;1.723
513;1.958;1.412;1.665
513.5;1.741;1.327;1.54
514;1.732;1.45;1.61
514.5;1.744;1.48;1.673
515;1.74;1.465;1.528
515.5;1.838;1.424;1.436
516;1.919;1.39;1.392
516.5;1.992;1.406;1.375
517;2.061;1.379;1.338
517.5;2.157;1.481;1.43
518;2.133;1.504;1.414
518.5;2.001;1.483;1.307
519;2.008;1.605;1.416
519.5;2.006;1.635;1.476
520;1.974;1.667;1.507
520.5;1.846;1.605;1.519
521;1.648;1.327;1.413
521.5;1.559;1.142;1.305
522;1.484;0.925;1.139
522.5;1.407;0.713;0.883
523;1.311;0.532;0.644
523.5;1.147;0.313;0.416
524;1.149;0.3;0.353
524.5;1.241;0.384;0.425
525;1.255;0.51;0.528
525.5;1.3;0.642;0.651
526;1.421;0.719;0.753
526.5;1.568;0.864;0.9
527;1.563;0.856;0.901
527.5;1.509;0.756;0.76
